TDCchannel,hodoChannel,inputPort,VHDname
00,H4Tu08,D00,E08
01,H4Tu07,D01,E09
02,H4Tu06,D02,E10
03,H4Tu05,D03,E11
04,H4Tu04,D04,E12
05,H4Tu03,D05,E13
06,H4Tu02,D06,E14
07,H4Tu01,D07,E15
08,H4Td08,D08,E08
09,H4Td07,D09,E09
10,H4Td06,D10,E10
11,H4Td05,D11,E11
12,H4Td04,D12,E12
13,H4Td03,D13,E13
14,H4Td02,D14,E14
15,H4Td01,D15,E15
16,H4Tu16,D16,E00
17,H4Tu15,D17,E01
18,H4Tu14,D18,E02
19,H4Tu13,D19,E03
20,H4Tu12,D20,E04
21,H4Tu11,D21,E05
22,H4Tu10,D22,E06
23,H4Tu09,D23,E07
24,H4Td16,D24,E00
25,H4Td15,D25,E01
26,H4Td14,D26,E02
27,H4Td13,D27,E03
28,H4Td12,D28,E04
29,H4Td11,D29,E05
30,H4Td10,D30,E06
31,H4Td09,D31,E07
32,H2T16,B00,B00
33,H2T15,B01,B01
34,H2T14,B02,B02
35,H2T13,B03,B03
36,H2T12,B04,B04
37,H2T11,B05,B05
38,H2T10,B06,B06
39,H2T09,B07,B07
40,H2T08,B08,B08
41,H2T07,B09,B09
42,H2T06,B10,B10
43,H2T05,B11,B11
44,H2T04,B12,B12
45,H2T03,B13,B13
46,H2T02,B14,B14
47,H2T01,B15,B15
48,H3T16,B16,D00
49,H3T15,B17,D01
50,H3T14,B18,D02
51,H3T13,B19,D03
52,H3T12,B20,D04
53,H3T11,B21,D05
54,H3T10,B22,D06
55,H3T09,B23,D07
56,H3T08,B24,D08
57,H3T07,B25,D09
58,H3T06,B26,D10
59,H3T05,B27,D11
60,H3T04,B28,D12
61,H3T03,B29,D13
62,H3T02,B30,D14
63,H3T01,B31,D15
64,RFCLOCK,G00,XXX
65,STOP,G01,XXX
66,XXXXX,A02,XXX
67,XXXXX,A03,XXX
68,XXXXX,A04,XXX
69,XXXXX,A05,XXX
70,XXXXX,A06,XXX
71,XXXXX,A07,XXX
72,XXXXX,A08,XXX
73,XXXXX,A09,XXX
74,XXXXX,A10,XXX
75,XXXXX,A11,XXX
76,XXXXX,A12,XXX
77,XXXXX,A13,XXX
78,XXXXX,A14,XXX
79,XXXXX,A15,XXX
80,H1T19,A16,A00
81,H1T18,A17,A01
82,H1T17,A18,A02
83,H1T16,A19,A03
84,H1T15,A20,A04
85,H1T14,A21,A05
86,H1T13,A22,A06
87,H1T12,A23,A07
88,H1T11,A24,A08
89,H1T10,A25,A09
90,H1T09,A26,A10
91,H1T08,A27,A11
92,H1T07,A28,A12
93,H1T06,A29,A13
94,H1T05,A30,A14
95,XXXXX,A31,XXX
